,studio,project_id,title,description,instructions,writing,author/id,project_author_username,image,history/created,history/modified,history/shared,stats/views,stats/loves,stats/favorites,remix/parent,remix/root,studio_numberscript_count,variable_count,list_count,comment_count,costume_count,sprite_count,block_count,block_unique_count,random_block_count,Unnamed: 12,language
0,18,237042971,Steven and the Stevens [MV],"Animation is hard! And time consuming! But after yesterday's puzzle of clones and circuits, this felt a little more manageable. :) More to come...

Made w/ @unseatingBread. If I had two more days, the clones would perhaps do different things, and/or I'd separate out Steven 1 from his backup singers. ","Press the green flag to watch! (Inspired by Steven and the Stevens - a song from Steven Universe)

I know that the prompt says ""a natural or human-made phenomenon..."" does gem-made count? :P","Animation is hard! And time consuming! But after yesterday's puzzle of clones and circuits, this felt a little more manageable. :) More to come...

Made w/ @unseatingBread. If I had two more days, the clones would perhaps do different things, and/or I'd separate out Steven 1 from his backup singers. Press the green flag to watch! (Inspired by Steven and the Stevens - a song from Steven Universe)

I know that the prompt says ""a natural or human-made phenomenon..."" does gem-made count? :P",2745846,paulinah,https://cdn2.scratch.mit.edu/get_image/project/237042971_480x360.png,2018-07-22T00:59:37.000Z,2018-07-23T09:27:01.000Z,2018-07-23T09:25:28.000Z,27,16,1,,,19,8,4,0,0,8,1,114,40,2,['en']
1,18,237100206,Grumpy Bubbles,"Big thanks to @jsh for his Day 1 project, River Waltz, which served as inspiration and as material for my project. I was inspired early on by the use of clones in River Waltz, and wanted to pay tribute to that inspiration with a slightly cheeky remix.","First, check out @jsh's River Waltz: https://scratch.mit.edu/projects/235484400/
This remix project is the behind-the-scenes peek at the bubbles in the background of that project—bubbles who are not nearly as courteous as the fish!
Click the Green Flag, then mouse over the bubbles to see what they're grumbling about!","Big thanks to @jsh for his Day 1 project, River Waltz, which served as inspiration and as material for my project. I was inspired early on by the use of clones in River Waltz, and wanted to pay tribute to that inspiration with a slightly cheeky remix.First, check out @jsh's River Waltz: https://scratch.mit.edu/projects/235484400/
This remix project is the behind-the-scenes peek at the bubbles in the background of that project—bubbles who are not nearly as courteous as the fish!
Click the Green Flag, then mouse over the bubbles to see what they're grumbling about!",39526,karenb,https://cdn2.scratch.mit.edu/get_image/project/237100206_480x360.png,2018-07-23T00:25:41.000Z,2018-07-23T10:07:59.000Z,2018-07-23T10:07:59.000Z,29,11,0,235484400.0,235484400.0,19,4,10,1,6,2,1,99,40,5,['en']
2,18,237093421,Raindrops,"I've found that I don't always initially consider sound with my projects. For this project I wanted to work on getting timing and pace to seem natural. I wanted to go beyond ""I can make the rain fall"" to ""can I make the rain fall well?"" Having sound as an element of that process has helped. I'm not sure I'm quite at natural pacing, but I think it's getting there (:

(update: edited the speed of the day rain to simulate gravity! how does this compare to the non-gravitational falling of night rain? I also set the clones to a range of sizes. I'd like to go back later to connect size with gravity)

rain sound:
https://freesound.org/people/macdaddyno1/sounds/396484/",Press the green flag.,"I've found that I don't always initially consider sound with my projects. For this project I wanted to work on getting timing and pace to seem natural. I wanted to go beyond ""I can make the rain fall"" to ""can I make the rain fall well?"" Having sound as an element of that process has helped. I'm not sure I'm quite at natural pacing, but I think it's getting there (:

(update: edited the speed of the day rain to simulate gravity! how does this compare to the non-gravitational falling of night rain? I also set the clones to a range of sizes. I'd like to go back later to connect size with gravity)

rain sound:
https://freesound.org/people/macdaddyno1/sounds/396484/Press the green flag.",25705937,alirb,https://cdn2.scratch.mit.edu/get_image/project/237093421_480x360.png,2018-07-22T22:22:17.000Z,2018-07-23T13:33:50.000Z,2018-07-23T10:37:53.000Z,29,18,4,,,19,4,2,0,0,9,2,39,23,5,['en']
3,18,237098671,Night Rain,"After simulating rain drops for today's challenge, I was reminded of my use of clones for loudness sensing day. As I was exploring sound as a significant dimension of my project today, I wondered how the rainfall and the noise-reacting stars might interact -- both with sound in the project and from whoever is watching.

rain sound:
https://freesound.org/people/macdaddyno1/sounds/396484/","Press the green flag, allow for the microphone to detect sound, and turn speaker volume up (I recommend all the way!) (Also feel free to sing, scream, hum, talk, etc)


I also recommend full screen","After simulating rain drops for today's challenge, I was reminded of my use of clones for loudness sensing day. As I was exploring sound as a significant dimension of my project today, I wondered how the rainfall and the noise-reacting stars might interact -- both with sound in the project and from whoever is watching.

rain sound:
https://freesound.org/people/macdaddyno1/sounds/396484/Press the green flag, allow for the microphone to detect sound, and turn speaker volume up (I recommend all the way!) (Also feel free to sing, scream, hum, talk, etc)


I also recommend full screen",25705937,alirb,https://cdn2.scratch.mit.edu/get_image/project/237098671_480x360.png,2018-07-23T00:06:28.000Z,2018-07-23T11:03:43.000Z,2018-07-23T10:38:58.000Z,21,8,4,,,19,7,0,0,0,10,3,66,28,6,['en']
4,18,237111696,Lights,"This project was created for Day 19 of Getting Unstuck. Our mission was to explore clones, which I was excited about because I've really been enjoying clones throughout Getting Unstuck (previously, clones were an unexplored feature for me). 

For an initial version of this project, I relied more heavily on Scratch's built-in blocks (e.g., X Position, Y Position, Point Towards, Move X) to calculate movement. But there was a slight problem with this; I wanted the clones to appear to continue their circular motion even when offstage. The solution was to do more of the calculations manually, storing things like current position in variables (so, not limited to the size of the stage). 

Music: Gustav Holst, ""Neptune, the Mystic"" (The Royal Liverpool Philharmonic Orchestra)",Enjoy the procession of the clones!,"This project was created for Day 19 of Getting Unstuck. Our mission was to explore clones, which I was excited about because I've really been enjoying clones throughout Getting Unstuck (previously, clones were an unexplored feature for me). 

For an initial version of this project, I relied more heavily on Scratch's built-in blocks (e.g., X Position, Y Position, Point Towards, Move X) to calculate movement. But there was a slight problem with this; I wanted the clones to appear to continue their circular motion even when offstage. The solution was to do more of the calculations manually, storing things like current position in variables (so, not limited to the size of the stage). 

Music: Gustav Holst, ""Neptune, the Mystic"" (The Royal Liverpool Philharmonic Orchestra)Enjoy the procession of the clones!",56239,jsh,https://cdn2.scratch.mit.edu/get_image/project/237111696_480x360.png,2018-07-23T03:16:00.000Z,2018-07-23T17:44:58.000Z,2018-07-23T10:59:22.000Z,30,14,7,,,19,6,10,0,0,2,1,131,34,5,['en']
5,18,62591162,Slim Cantore - Penquin Weather Channel Event,"

","This project is based on a Weather Story by Weather Channel Reporter Jim Cantore. On February 15, 2015 he experienced six episodes of thundersnow in Plymouth, MA while reporting.  Real footage from this event can be seen at: http://www.weather.com/news/news/jim-cantore-thundersnow-plymouth-massachusetts.
This is my first experience with cloning.
The original project was remixed from CSFirst module on Storytelling.","

This project is based on a Weather Story by Weather Channel Reporter Jim Cantore. On February 15, 2015 he experienced six episodes of thundersnow in Plymouth, MA while reporting.  Real footage from this event can be seen at: http://www.weather.com/news/news/jim-cantore-thundersnow-plymouth-massachusetts.
This is my first experience with cloning.
The original project was remixed from CSFirst module on Storytelling.",4615776,LadyTurtle,https://cdn2.scratch.mit.edu/get_image/project/62591162_480x360.png,2015-05-16T05:27:51.000Z,2018-07-23T11:12:00.000Z,2015-05-21T00:13:38.000Z,32,9,2,24001065.0,24001065.0,19,28,1,0,0,35,6,229,36,14,['en']
6,18,237136651,Unstuck Day 19 Flowers,"Three flowers on one stem is a variation from having a field of cloned flowers bloom, which is a simpler script and the create clone block in a repeat loop.
I put the watering can sprite in my backpack after another Scratcher suggested I add it to a previous Unstuck flower project then added the sprite here.

Here's another fun cloning project: https://scratch.mit.edu/projects/237137845/","Thanks for today's challenge! I have used cloning for a few different things, but this project fits best with the challenge to represent a natural or human-made phenomenon.

","Three flowers on one stem is a variation from having a field of cloned flowers bloom, which is a simpler script and the create clone block in a repeat loop.
I put the watering can sprite in my backpack after another Scratcher suggested I add it to a previous Unstuck flower project then added the sprite here.

Here's another fun cloning project: https://scratch.mit.edu/projects/237137845/Thanks for today's challenge! I have used cloning for a few different things, but this project fits best with the challenge to represent a natural or human-made phenomenon.

",14632339,scratchteacheralpha032,https://cdn2.scratch.mit.edu/get_image/project/237136651_480x360.png,2018-07-23T10:50:19.000Z,2018-07-23T19:44:57.000Z,2018-07-23T11:04:11.000Z,9,6,0,,,19,8,1,0,0,12,2,67,39,3,['en']
7,18,237134693,Unstuck Day 19: Using Clones,"I did this project for Getting Unstuck challenge Day 19, using clones to mimic a natural or human made phenomenon. I had never made variables into sliders before! I thought I had seen it but didn't know how people got that, and it turns out you have to right click in the variable to get the option to turn it into a slider.
It would be nice if you could put limits on a slider as above 20 on each of these is not particularly useful. I could put the limit in how the variables are used but then the number show does not represent what is happening.","Play with ripples! 
Just added sound, too.
See how adding more clones slows down the project.
Thanks @mstone326 for the tip on setting the slider min and max!","I did this project for Getting Unstuck challenge Day 19, using clones to mimic a natural or human made phenomenon. I had never made variables into sliders before! I thought I had seen it but didn't know how people got that, and it turns out you have to right click in the variable to get the option to turn it into a slider.
It would be nice if you could put limits on a slider as above 20 on each of these is not particularly useful. I could put the limit in how the variables are used but then the number show does not represent what is happening.Play with ripples! 
Just added sound, too.
See how adding more clones slows down the project.
Thanks @mstone326 for the tip on setting the slider min and max!",214174,enauman,https://cdn2.scratch.mit.edu/get_image/project/237134693_480x360.png,2018-07-23T10:11:35.000Z,2018-07-23T12:17:09.000Z,2018-07-23T11:32:06.000Z,17,10,3,,,19,4,3,0,0,4,2,36,22,3,['en']
8,18,237138514,Day19,,Click on the green flag to start,nanClick on the green flag to start,34225248,maths77680,https://cdn2.scratch.mit.edu/get_image/project/237138514_480x360.png,2018-07-23T11:27:54.000Z,2018-07-23T11:38:35.000Z,2018-07-23T11:38:22.000Z,12,4,0,,,19,3,0,0,0,4,1,17,11,2,['en']
9,18,237138676,#019 Getting Unstuck Clones,I didn't have a lot of time to do this today...very basic.,Move mouse around for clones...,I didn't have a lot of time to do this today...very basic.Move mouse around for clones...,20126730,kbardelli1,https://cdn2.scratch.mit.edu/get_image/project/237138676_480x360.png,2018-07-23T11:31:36.000Z,2018-07-23T11:44:12.000Z,2018-07-23T11:41:27.000Z,21,5,0,,,19,2,0,0,0,3,1,19,8,0,['en']
