project_id,project_author_id,project_author_username,studio_numberscript_count,variable_count,list_count,comment_count,costume_count,sprite_count,block_count,block_unique_count,random_block_count,
235615218,34197892,33limekilnsja,1,4,0,0,0,6,2,19,8,0
235715853,34197892,33limekilnsja,2,2,0,0,0,3,1,9,8,2
235762150,34197892,33limekilnsja,3,3,1,0,0,12,3,13,11,0
235832649,34197892,33limekilnsja,4,2,0,0,0,7,4,18,11,0
235934422,34197892,33limekilnsja,5,3,0,0,0,6,2,17,12,0
237164809,34197892,33limekilnsja,6,3,0,0,0,12,10,15,10,2
236108202,34197892,33limekilnsja,7,8,1,0,0,11,5,45,16,6
236242901,34197892,33limekilnsja,8,18,2,0,0,14,8,100,20,12
236353551,34197892,33limekilnsja,9,2,0,0,0,5,1,20,9,0
237181606,34197892,33limekilnsja,10,4,0,0,0,17,6,16,11,0
237298413,34197892,33limekilnsja,11,16,0,0,1,63,5,283,23,0
237455372,34197892,33limekilnsja,12,6,0,0,0,12,6,30,12,0
237504010,34197892,33limekilnsja,13,5,0,0,0,3,1,21,10,0
237685360,34197892,33limekilnsja,14,1,2,0,0,8,1,40,13,0
237897904,34197892,33limekilnsja,15,6,0,0,0,6,3,39,20,0
238863470,34197892,33limekilnsja,16,7,0,0,0,14,8,55,14,0
238868439,34197892,33limekilnsja,17,1,1,1,0,3,1,18,12,0
239066395,34197892,33limekilnsja,18,8,1,0,0,5,2,36,18,1
239466774,34197892,33limekilnsja,19,10,2,0,0,13,4,49,24,2
239460246,34197892,33limekilnsja,20,3,0,0,0,7,4,21,12,0
239667530,34197892,33limekilnsja,21,10,0,0,0,14,3,83,20,0
235830982,17698999,5Bics1,1,6,0,0,0,11,2,43,16,2
171451003,17698999,5Bics1,2,6,9,0,0,2,1,74,26,3
235833219,17698999,5Bics1,3,11,3,0,0,3,2,100,38,7
155500941,17698999,5Bics1,4,4,0,0,0,2,1,18,13,2
117784494,17698999,5Bics1,4,7,0,0,0,24,3,55,19,1
235902092,17698999,5Bics1,5,24,2,0,0,17,9,230,33,25
