id,title,description,instructions,author/id,image,history/created,history/modified,history/shared,stats/views,stats/loves,stats/favorites,stats/comments,stats/remixes,remix/parent,remix/root,,description,instructions
235480210,Polite cats,"***What did I learn from creating this project?***
It was so fun to explore the Scratch community and look at other projects to see what kinds of sprites Scratchers have made! I'm not a particularly good artist, so I often find the Backpack to be really helpful for remixing. With credit, of course! Also, walk cycle studios are a great place to find sprites for remixing.

***If I had more time...***
I would want to make the animation more natural looking, especially when Cat2 turns around. I wonder about making them smaller, so that the stage looks bigger? Or should one cat move off-screen? 

***Questions I have...***
I struggled to change the color of Cat2 using the color effect, probably because the original sprite is so light colored (the Scratch wiki says that it's harder to do color effects with black, so I imagine that shades of gray would be similar). Help! How do I do that?

***Credits***
Music: Siesta by Jahzzar (FreeMusicArchive.org)
Sprites/Project: IcoQuest's Walk Cycle project","I started with a remix, but added a few changes: 
+ Added a second cat and pointed the cat to walk towards the first cat.
+ When they bump into each other the second cat walks around.
+ Changed the music.
+ Added more broadcasting instead of responses to a key press (so that commands are linked to each other and will be easier to update in the future if I don't want the sprites to respond to a space key press).",2745846,https://cdn2.scratch.mit.edu/get_image/project/235480210_480x360.png,2018-07-04T15:53:12.000Z,2018-07-04T16:32:06.000Z,2018-07-04T16:20:25.000Z,46,5,1,0,0,146478891,146478891,blank,110,
226789077,Polite Octopus,"This version of the project was a good way to re-familiarize myself with some of the different sprites and backgrounds. I also wanted to explore offering the sprites two different courses of movement. I wonder about slowing down one of them, or perhaps making them much smaller? ",Just press the green flag!,2745846,https://cdn2.scratch.mit.edu/get_image/project/226789077_480x360.png,2018-05-31T20:26:18.000Z,2018-07-05T09:23:51.000Z,2018-05-31T20:26:36.000Z,20,2,1,0,0,,,filled,,
235502124,galactic interaction,"This is my first Scratch project!

The initial concept involved thinking about blood cells eating a bacteria. That is way too complicated for me at this point, so I tried to boil it down to the most minimal but similar interaction, which ended up being two objects passing each other in a hallway. (I thought maybe the blue and yellow would somehow intersect and turn into green, one absorbing the other.)

This pushed me toward exploring perception and depth of the objects and how they interact in the frame. I wanted to make it seem like one was getting closer to the other and vice versa.

Turning them into planet-like objects came after I started playing with changing the background to give more of a sense of motion.

I found the interface complicated. I assumed the sprites and pieces of data would reset to a default state when you reset the program. However, they don't... so I got super confused when I tried to make my planet spin. When I decided to revert to my original code, the timing and position were completely off and different from what I had originally. 

Was inspired by @jsh using layers to give the sense that the fish were moving between bubbles. ",Click the green flag,18655106,https://cdn2.scratch.mit.edu/get_image/project/235502124_480x360.png,2018-07-04T20:52:27.000Z,2018-07-05T13:45:49.000Z,2018-07-04T22:53:35.000Z,30,6,2,0,0,,,,,
235484400,River Waltz,"This project was created for Day 1 of Getting Unstuck.  I found it surprisingly tricky to get the timing that I wanted on the dialogue. I definitely made use of the ""Ask a Friend"" and ""Just Keep Going"" strategies.

Music: Johann Strauss II, ""The Blue Danube"", Strauss Festival Orchestra (1988)",Click the Green Flag. ,56239,https://cdn2.scratch.mit.edu/get_image/project/235484400_480x360.png,2018-07-04T16:29:37.000Z,2018-07-11T00:18:00.000Z,2018-07-04T19:59:19.000Z,64,14,3,0,0,,,,,
235478923,A Bear and A Cat,"I wanted my project to be a short animation. Given that, I could have easily programmed the same effect without using any sensing and relying entirely on timing, but I think that this sensing-based version makes it more adaptable (e.g., if I move the cat or bear). I'm wondering how else I could have programmed the back-and-forth dialogue (instead of using broadcasting and not using timing). If I was going to spend more time on my project, I'd add a more interesting background and some music, like I saw in @paulinah's project: https://scratch.mit.edu/projects/235480210/

My images are from Wikimedia:
https://commons.wikimedia.org/wiki/File:Cat_illustration.jpg
https://commons.wikimedia.org/wiki/File:Sloth_bear_(PSF).png","This is my project for Day 1 of Getting Unstuck!

Press the green flag.",39526,https://cdn2.scratch.mit.edu/get_image/project/235478923_480x360.png,2018-07-04T15:37:16.000Z,2018-07-24T11:27:11.000Z,2018-07-05T10:06:15.000Z,52,4,1,0,0,,,,,
235560993,Getting Unstuck Day 1,,,2168638,https://cdn2.scratch.mit.edu/get_image/project/235560993_480x360.png,2018-07-05T11:01:40.000Z,2018-07-05T11:23:10.000Z,2018-07-05T11:23:10.000Z,17,1,1,0,0,,,,,
235564153,défi1,,,34225248,https://cdn2.scratch.mit.edu/get_image/project/235564153_480x360.png,2018-07-05T11:30:55.000Z,2018-07-05T11:33:45.000Z,2018-07-05T11:33:45.000Z,12,2,1,0,0,,,,,
235562020,#GettingUnstuck Day 1,"I used sprites created using canva as I like the variety of images there (www.canva.com). 

When I thought 'polite' I thought of senior citizens and their charming manners!  
I'm not sure why I made them float away, ",,4610900,https://cdn2.scratch.mit.edu/get_image/project/235562020_480x360.png,2018-07-05T11:10:51.000Z,2018-07-05T11:45:54.000Z,2018-07-05T11:39:34.000Z,27,3,2,0,0,,,,,
235562994,Excuse me! (Getting Unstuck Day 1),It was difficult to make the boy look the girl because the sprite looks left when his direction is 90. I reversed the costume :),"Press the green flag to watch this fantastic love story: no matter where he is being hit, he falls in love continuously.
Will he find the courage to ask her out? :)

Please notice the curious sculpture in the field :)",2417641,https://cdn2.scratch.mit.edu/get_image/project/235562994_480x360.png,2018-07-05T11:20:11.000Z,2018-07-05T11:57:05.000Z,2018-07-05T11:40:38.000Z,21,5,1,0,0,,,,,
235565850,GettingUnstuck_#1,"This project was created for Getting Unstuck Day1. The two sprites meet up, and something happens...It's good practice to use ""broadcast the message"" of Event to control the timing. I'm going to let the Red triangle randomly start from the right hand side, and keep moving forward to the eyes in the dark. It looks a bit like the hide-and-seek game ;-)",Click the Green Flag. ,31325002,https://cdn2.scratch.mit.edu/get_image/project/235565850_480x360.png,2018-07-05T11:46:09.000Z,2018-07-06T00:47:20.000Z,2018-07-05T11:49:04.000Z,25,6,2,0,0,,,,,
