id,title,description,instructions,author/id,image,history/created,history/modified,history/shared,stats/views,stats/loves,stats/favorites,stats/comments,stats/remixes,remix/parent,remix/root,,description (full),instruction (full),description (blank),instruction (blank)
237028696,Circuits!-2,Based off a puzzle found here: https://circuits.puzzlebaron.com/game.php. Inspired by Zelda Shrine puzzles.,Definitely a work in progress. Click on the tiles to rotate the lines and connect the circuits! You win when everything lights up. (But things only seem to change color sometimes + the squares don't always line up perfectly). Any remixes with solutions welcome (I'm tagging @jsh for some help).,2745846,https://cdn2.scratch.mit.edu/get_image/project/237028696_480x360.png,2018-07-21T18:50:53.000Z,2018-07-22T10:33:05.000Z,2018-07-22T10:30:39.000Z,42,10,2,0,0,,,,98,112,23,9
237034857,Spiral Game,This was fun! My only thing that I want to add is that I'd like it to only twirl the background if the bouncing ring is in the middle.. Thoughts?,"Press flag to start, then press space a few times , and try to find the secret surprise by clicking around with your mouse!",24267830,https://cdn2.scratch.mit.edu/get_image/project/237034857_480x360.png,2018-07-21T21:25:08.000Z,2018-07-21T22:36:11.000Z,2018-07-21T22:36:03.000Z,32,10,0,0,0,,,,,,,
237060823,Conditions for...?,"I began by thinking about the question ""what kind of secret would I like to reveal?""

I'm not sure if I share the right amount of information in the instructions + while playing. I want those playing to discover the features, though is there enough to start from? How is the timing?

[intentionally minimal notes for hidden factor!]","Press the green flag.

After that, move the mouse around and see what you can discover if you press the mouse in different parts of the stage.

Can you resist the urge to look inside for hints?",25705937,https://cdn2.scratch.mit.edu/get_image/project/237060823_480x360.png,2018-07-22T08:53:14.000Z,2018-07-23T11:31:34.000Z,2018-07-22T10:34:59.000Z,35,10,5,0,0,,,,,,,
237039971,Three of a Kind,"I was recently in Las Vegas for my grandmother's 90th birthday party. (She's very adventurous!) While there, I was stunned by the number of slot machines—I think it left a deep aesthetic impression on me. And so when I saw today's prompt (Day 18 of Getting Unstuck), it made me think of these games of chance! The structure of the prompt and the structure of my lived experiences collided to produce this creation!
My sound effects selections don't sound right to me, but I wasn't entirely what would be better (and where to find it). If you have any audio recommendations, please let me know—I would be very grateful! (Update: I switched from gong on spin-click to computer beeps, which seems less blarghy.)","Press the green flag, then spin to play.
Can you get three of a kind?",39526,https://cdn2.scratch.mit.edu/get_image/project/237039971_480x360.png,2018-07-21T23:45:26.000Z,2018-07-22T11:07:31.000Z,2018-07-22T10:45:25.000Z,44,19,4,0,0,,,,,,,
237066541,Unstuck Day 18,I think I am getting the hang of things:-),"To play with the little bug, just click the green flag.",24826697,https://cdn2.scratch.mit.edu/get_image/project/237066541_480x360.png,2018-07-22T11:32:29.000Z,2018-07-22T12:03:41.000Z,2018-07-22T12:03:40.000Z,16,3,1,0,0,,,,,,,
237041912,Puzzle,"This project was created for Day 18 of Getting Unstuck. I've always loved puzzle games, so I thought I would try my hand at making one today. Conclusion: it's harder than it seems!  

I thought I would ""keep it simple"" and avoid clones with the project, but I had some major regrets due to the amount of work to keep the nearly-identical sprites in sync with each other. Lesson learned: use clones when you can!

Music: 4bstr4ck3r, ""Random Effect""",Solve the puzzle to reveal the secret!,56239,https://cdn2.scratch.mit.edu/get_image/project/237041912_480x360.png,2018-07-22T00:32:34.000Z,2018-07-27T01:10:42.000Z,2018-07-22T12:11:38.000Z,45,10,3,0,0,,,,,,,
156062492,Angoli colorati remix,"Lavoro per CodeMooc remixato per Getting Unstuck Day 18

Grazie a @abogliolo per angoli-colorati","Input the size of the angle and press the right arrow key; press the space bar to change color
The cat will reveal to you what type of angle you drew

                                                ****
Per iniziare, premi sulla bandierina verde. 
Scegli un valore per l'ampiezza dell'angolo e usa il tasto freccia a destra per rappresentarlo; premi la barra di spazio per cambiare colore; disegnerai una spirale. Alla fine, il gatto classificherà l'angolo",17698999,https://cdn2.scratch.mit.edu/get_image/project/156062492_480x360.png,2017-04-18T15:39:05.000Z,2018-07-22T12:29:41.000Z,2017-04-18T16:01:36.000Z,22,2,1,0,0,154983023,154983023,,,,,
237070250,18 giorno,,Premi sulla bandierina,28304428,https://cdn2.scratch.mit.edu/get_image/project/237070250_480x360.png,2018-07-22T13:13:32.000Z,2018-07-22T13:49:33.000Z,2018-07-22T13:46:07.000Z,10,3,0,0,0,,,,,,,
236882401,Getting Unstuck: Day 18 — Guessing Game,"Reflection

For today's Getting Unstuck, I use the AND block to sanitize the input. Players should only be able to select a number between 1 and 100. Should the player enter in a number outside of this range, or anything else that isn't a pure number, Scratch Cat informs them that the input is invalid, and players are not penalized.","Welcome to the Guessing Game!!

Choose a number between 1 and 100 until you guess the correct number. The less number of guesses it takes you, the better the prize.",26264460,https://cdn2.scratch.mit.edu/get_image/project/236882401_480x360.png,2018-07-19T20:09:14.000Z,2018-07-22T14:05:10.000Z,2018-07-22T13:56:36.000Z,12,5,2,0,0,,,,,,,
237065696,LogicGates,"Music: Armin Van Buuren vs. Vini Vici feat. Hilight Tribe - Great Spirit

","Turn on the light bulb, changing the position of the switches and using knowledge of the logical circuits.
Pressing the switch changes its state.
Only six levels, but you can do more.",139209,https://cdn2.scratch.mit.edu/get_image/project/237065696_480x360.png,2018-07-22T11:09:11.000Z,2018-07-22T14:18:42.000Z,2018-07-22T14:03:56.000Z,42,19,5,0,0,,,,,,,
