id,title,description,instructions,author/id,image,history/created,history/modified,history/shared,stats/views,stats/loves,stats/favorites,stats/comments,stats/remixes,remix/parent,remix/root
236056530,HexaPaths remix,"Remixed from @technoboy10 - this was a bit challenging because I definitely tried to overcomplicate the math involved! Also I often struggle with remixes because sometimes I find it really difficult to really understand someone else's code, and then to make a meaningful change to it...that can definitely be hard. Originally I had thought I might try my hand at some fractals and recursive trees, but that will have to wait for a day that is less busy. 

I learned that if a sprite is covering the slider variables, you can't touch the slider variable (I thought the sliders were always on the top layer, but I guess I'm wrong), and I also found that the way transparency/ghosting was handled in this project to be fairly clever (It's a second sprite layer with a white background). 

Music: http://freemusicarchive.org/music/Chan_Wai_Fat/ - Dream Instrumental
","Watch the project create random paths and move the slider up and down to change the shape of the polygon.

Changes:
+ added a slider to change the polygon shape
+ added music
+ changed size of polygons (which is somewhat dependent on polygon type)
",2745846,https://cdn2.scratch.mit.edu/get_image/project/236056530_480x360.png,2018-07-10T21:29:13.000Z,2018-07-11T09:24:45.000Z,2018-07-11T09:24:04.000Z,31,9,2,0,0,23963064,23963064
161562512,Getting Unstuck Day 7: Pattern Maker Remix Remix,"For Day 7, I remixed a project that I did with a student last year. @aurorabell taught me a lot about clones and stamping with her original project, and I wanted to see what would happen if I incorporated the pen tool as well. I also learned about defining my own Scratch blocks!

It was fun to revisit this project, because when I made the original remix I don't think I understood all of the code. When I came back to this project, I knew exactly what was going on and was able to modify it to fit what I was envisioning! Thanks, @aurorabell and #GettingUnstuck! :)","Press the green flag to start.
Use the arrow keys to make a line pattern! 
Press space to stamp more dots on the page.
Press b to change the background color.
If you want your project to be even weirder, press the ""r"" key to turn on random mode!",19163721,https://cdn2.scratch.mit.edu/get_image/project/161562512_480x360.png,2017-05-17T15:21:53.000Z,2018-07-11T18:52:41.000Z,2017-05-17T15:26:16.000Z,36,9,2,0,0,138255301,138255301
236054919,"The Rainbow Sensorium (Getting Unstuck, Day 7)","I was feeling REALLY creatively stuck today. As I chatted with @mizzpeters and @asparklekat about feeling stuck, @mizzpeters asked me what I was excited about and @asparklekat suggested tinkering. I ended up mashing both of these pieces of advice together to produce this project for Day 7 of Getting Unstuck.

I started out wanting to make a program that printed graph paper. (I'm OBSESSED with graph paper.) After I had programmed the basic grid making, I went back to the Pen category to see what I might tinker around with. That led me to play with the Pen color and the Pen size blocks. The Pen size block really blew the program open for me in terms of creative inspiration and engagement! I abandoned the horizontal line drawing (although the code is still in there), and just kept the vertical line drawing. Tinkering with these streaks of rainbows by varying the grid size feels very engaging and satisfying to me. My equation for today: passion + some tinkering = some new, previously unimagined exploration and fun!","Welcome to the Rainbow Sensorium, a place to play with rainbows!
Press the space key to draw streaks of rainbows of different widths.

To speed up the drawing, try it in turbo mode (by pressing the shift key before clicking the green flag). Thank you for the inspiration, @coderangers!",39526,https://cdn2.scratch.mit.edu/get_image/project/236054919_480x360.png,2018-07-10T21:04:55.000Z,2018-07-11T14:36:00.000Z,2018-07-11T10:18:01.000Z,45,17,3,0,0,,
236060246,1 Week of Getting Unstuck!,"I enjoy how different pieces of the pattern emerge as it's drawn (over)!

Admittedly, my main excitement here was the time-based celebration and not necessarily a celebration of pen-patterns. I LOVE PATTERNS, THO -- I think my excitement about being 1-week in made me stubbornly forget - I'll come back to pattern drawing, for sure. I'd like for questions like ""Why a pattern with this concept?"" and then ""How will I create a pattern?"" to be more considered in my process of this project. I'd like to imagine the patterns I'd like to draw and then think of what would be necessary to draw them (or find something more surprising that I also enjoy!)

How are you thinking about the relationship between concept and the day's challenge in your Getting Unstuck projects? 
What are your strategies when you're having a hard time meeting your passions with the day's challenge?

I created my own blocks for the first time! Ultimately I really didn't need to, as I realized I wanted each sprite to draw a different specific color, so really each one is only called on once instead of the initially intended use across sprites. I could've just used the definition script and not created a block. I'd like to think about where it does make sense to create a block to make use of throughout! (:","After pressing the green flag, press the space bar for a pen-drawing celebration of 7 days of Getting Unstuck! 

(pattern comes in after each sprite shares)",25705937,https://cdn2.scratch.mit.edu/get_image/project/236060246_480x360.png,2018-07-10T22:36:13.000Z,2018-07-11T10:27:47.000Z,2018-07-11T10:22:59.000Z,25,9,1,0,0,,
236069638,Echo Sketch,"This project was created for Day 7 of Getting Unstuck. I was inspired by some of the cool pen projects that I saw other people make for previous days of Getting Unstuck.

Might come back later and work a little more on the sound.","Click the green flag, use the mouse to draw a shape on the stage, then sit back and enjoy.",56239,https://cdn2.scratch.mit.edu/get_image/project/236069638_480x360.png,2018-07-11T01:11:59.000Z,2018-07-11T13:43:09.000Z,2018-07-11T11:42:56.000Z,44,19,5,0,0,,
208438168,Rainbow Star Math,,"Rainbow Star Math

Remix and make your own shapes by changing the degrees! 

Press the green flag!",25417130,https://cdn2.scratch.mit.edu/get_image/project/208438168_480x360.png,2018-03-07T18:50:02.000Z,2018-07-11T12:21:23.000Z,2018-07-11T11:22:57.000Z,32,7,4,0,0,,
236106240,Day7,,,34225248,https://cdn2.scratch.mit.edu/get_image/project/236106240_480x360.png,2018-07-11T11:18:22.000Z,2018-07-11T11:24:17.000Z,2018-07-11T11:24:16.000Z,17,1,0,0,0,,
236105987,Getting Unstuck Day 7,"I love the pen and use it a lot. I'm always interested in new ways to use it, and this is something I've experimented a bit with recently.","It's a very simple project to use! Click the green flag, and when you're happy with your art work, click space to pause.

It's best run on turbo mode - so before you click the green flag press shift. This speeds up the effect.",4610900,https://cdn2.scratch.mit.edu/get_image/project/236105987_480x360.png,2018-07-11T11:15:15.000Z,2018-07-11T13:55:36.000Z,2018-07-11T11:48:20.000Z,50,22,5,0,0,,
236106694,Kaleido!,"I almost cheated, as I made another project similar in the past (this one https://scratch.mit.edu/projects/151194070/ ). I'm fascinated by the beautifulness of random patterns just giving a hint of regularity (for example symmetry, or recursivity... like the mandelbrot fractal or bismuth crystals, but also trees or snails).

I stuck in trying to get a 90° direction only, and trying to get unstuck I discovered that the glitched version was giving better looking results than the regular one. So I kept 'em both.","The direction of the trails is changed by pointer x and the dimension by the y.

Left/Right = change background
Up/Down = change bg brightness

SPACE = makes movement more or less angular 
Mouse button = changes color ",12148328,https://cdn2.scratch.mit.edu/get_image/project/236106694_480x360.png,2018-07-11T11:24:48.000Z,2018-07-11T15:25:06.000Z,2018-07-11T12:11:56.000Z,20,8,3,0,0,,
236109944,Unstuck Day 07 Pen Intro,"This is the lesson I use to introduce the pen blocks to students. They have previously created a forever->>move-->bounce on edge script to get the sprite moving around the stage, so now they add pen down and change pen color to make a cool rainbow pattern. 

There are a few different patterns that generate discussion, and when students start plugging other numbers in the change pen color by block that makes for a new burst of excitement. They love being able to control what happens, even if they aren't sure exactly why their changes have a specific effect. The big idea is that they are controlling the action through code.

Additional extensions include creating key events to change pen size and clear the stage while the main script is running. Instead of randomizing the beginning direction, younger students go under the hood of the sprite and manually drag the blue direction line to a starting angle.","The green flag erases the design and centers the cat.

Space key begins the cat on a drawing journey around the stage.

What cool design will your cat make?",14632339,https://cdn2.scratch.mit.edu/get_image/project/236109944_480x360.png,2018-07-11T12:10:57.000Z,2018-07-11T15:07:21.000Z,2018-07-11T12:14:46.000Z,6,2,0,0,0,,
236108186,Getting Unstuck: Day 7,"This was fun playing with the numbers. I did not want the shapes to take too long to draw, but did not want to rush the image.

If I did not have a meeting at 8 am I would play more and try to add more options. 

Update: I forgot I remixed a previous project - bonus - click anywhere on the screen to change the background color!","Click the green flag to get started.

Press the buttons to explore.

Are you a patient user? Press a color and wait until done, then press another color.

...or you can just press buttons one after another!",17807175,https://cdn2.scratch.mit.edu/get_image/project/236108186_480x360.png,2018-07-11T11:45:33.000Z,2018-07-11T15:53:15.000Z,2018-07-11T12:23:01.000Z,17,7,1,0,0,,
236105393,Moving pen robot (Getting Unstuck Day 7),"This is my first Getting Unstuck project for the challenge of @karenb and @paulinah: gettingunstuck.gse.harvard.edu. 

It was fun to try to come up with a pen project within a day. Therefore I needed a project idea that would not take a lot of time. I was reading a book about the micro:bit and I saw a simple robot drawing and thought it would be fun to try to make a robot using pen.

This pen project only uses lines and dots. If I had more time I would use squares too, but it's much more time consuming to make them with pen in Scratch.

I've used a random number in this kind of pen projects for the first time. I just tried it and thought it looked cool.

Do you want to see some cool examples of the use of pen in Scratch, check out these Scratchers if you like:
@hugmyster
@dapontes
@leszpio
@icampeao
@dodekagonia
@selim_tezel
@mathjp
@PullJosh

I also recommend this 100 % pen studio on Scratch: https://scratch.mit.edu/studios/3935624/
","Arrow keys to move this weird looking robot.

This project is made for day 7 of the Getting Unstuck Challenge:
Use the Pen blocks to automatically draw a pattern on the stage.

",2676515,https://cdn2.scratch.mit.edu/get_image/project/236105393_480x360.png,2018-07-11T11:07:54.000Z,2018-07-12T20:30:49.000Z,2018-07-11T12:35:44.000Z,56,19,7,0,0,,
236109864,Day 7 Getting unstuck,"For the amount of time I could work on this I am happy with my basic flower.

What I don't understand is the yellow dot at the start of my green stem.  I have pen up and pen down with only 1 step for the yellow I am confused about it.",Prompt: Create a project that uses the Pen blocks to automatically draw a pattern on the stage. ,20446522,https://cdn2.scratch.mit.edu/get_image/project/236109864_480x360.png,2018-07-11T12:10:00.000Z,2018-07-12T11:53:01.000Z,2018-07-11T12:39:19.000Z,6,1,0,0,0,,
236109442,Guess the sprite pattern - Getting Unstuck Day 7,"I made a horrible tic tac toe project first. But then I was looking around at some  of the other projects and saw @coderangers awesome project.
https://scratch.mit.edu/projects/236105987/#player
This isn't a remix exactly, but more of a homage to a really cool idea. 
I've barely ever used the pen before either, so this was all very new to me. ","Hold down shift, click the green flag (This will enable turbo mode) then click the green flag again. You should get a random sprite and be able to guess who it is!",22706156,https://cdn2.scratch.mit.edu/get_image/project/236109442_480x360.png,2018-07-11T12:04:31.000Z,2018-07-11T12:44:39.000Z,2018-07-11T12:37:36.000Z,15,4,0,0,0,,
236113076,Day 7 Getting Unstuck,"Oggi mi sono divertita con mia figlia per realizzare questo progetto. Un continuo: ""e se adesso aggiungiamo i colori....e se adesso aumentiamo lo spessore...""",Clicca sulla bandierina verde e inizia a disegnare.,10086796,https://cdn2.scratch.mit.edu/get_image/project/236113076_480x360.png,2018-07-11T12:47:39.000Z,2018-07-11T13:34:51.000Z,2018-07-11T12:48:22.000Z,15,4,1,0,0,,
236049433,Unstuck Day 7 - birth of a peacock,"My favorite part of making this project was just playing with colors over and over again, and seeing how different tweaks to numbers would impact the over all image!","Use down up arrow, down arrow, or space bar (or some mix!) to create a design :) Hold down each button or let them run their courses! Mix and match and see what happens :)

Use the a to stop all and then keep going, or take a photo to use as a bkg!

Press and hold two keys at once and see what happens :)

I'm not sure if the left arrow key brightens the lines but it is supposed to.",24267830,https://cdn2.scratch.mit.edu/get_image/project/236049433_480x360.png,2018-07-10T19:47:19.000Z,2018-07-11T13:58:11.000Z,2018-07-11T13:01:01.000Z,20,4,0,0,0,,
236113563,Untitled-9,,"Click the green flag to see the satellites monitor the progress of the pattern being constructed. 
Click the clear button to clear the pattern. ",22256610,https://cdn2.scratch.mit.edu/get_image/project/236113563_480x360.png,2018-07-11T12:52:03.000Z,2018-07-11T13:11:33.000Z,2018-07-11T13:05:36.000Z,11,2,0,0,0,,
236109735,Getting Unstuck day 7,"My first attempt at today's project (left arrow) is an iteration of something I have done before. I felt that I ought to challenge myself a bit so I worked on the second pattern (right arrow). It isn't overly complex, but it took some tinkering and math to get everything lined up just so. With more time I would work on a more complicated design.","left arrow for a semi-random pattern
right arrow for a linear pattern
space to clear",17767933,https://cdn2.scratch.mit.edu/get_image/project/236109735_480x360.png,2018-07-11T12:08:19.000Z,2018-07-11T13:12:40.000Z,2018-07-11T13:12:40.000Z,9,3,1,0,0,,
236109740,G.U. PENNA-Day 7,Uso della penna accompagnato da alcuni effetti ottici e sonori (a caso).,"G.U. Day 7
Clicca sulla bandierina verde per vedere gli effetti.
Clicca su spazio per fermare tutto.",13746945,https://cdn2.scratch.mit.edu/get_image/project/236109740_480x360.png,2018-07-11T12:08:24.000Z,2018-07-11T13:35:41.000Z,2018-07-11T13:34:00.000Z,7,2,1,0,0,,
236066270,Getting Unstuck: Day 7 — Sine Crawlers,"Reflection

The task was to use the ""pen blocks to automatically draw a pattern on the stage."" For this example, I decided to use sine waves. To accomplish this, I utilized the sin operator block. Local variables and clones were needed to create autonomous agents that walk across the screen while generating the sine wave patterns.

If I spent more time on this, I would play with more modulations to get a more interesting pattern.",Click the green flag and watch as the image emerges.,26264460,https://cdn2.scratch.mit.edu/get_image/project/236066270_480x360.png,2018-07-11T00:25:16.000Z,2018-07-11T13:41:55.000Z,2018-07-11T13:31:48.000Z,23,12,2,0,0,,
236105078,Magic Pencil! - GettingUnstuck#7,"Getting Unstuck challenge/activity #7 - ""Create a project that uses the Pen blocks to automatically draw a pattern on the stage.""

First pattern was accidentally created when trying to make a basic circle. But I just went with it and made adjustments to see what other patterns could be made.

Improvements would be to make some of the variables set via user input so that the user could experiment.  Also needs a ""Try another pattern?"" button rather than relying on using flag to restart.",Click the flag to start or reset (to pick another pattern),15872912,https://cdn2.scratch.mit.edu/get_image/project/236105078_480x360.png,2018-07-11T11:03:46.000Z,2018-07-11T13:44:02.000Z,2018-07-11T13:40:20.000Z,11,4,2,0,0,,
236109208,GettingUnstucked day7,"thank to all scratch community: as I decide to follow Getting Unstucked, i choose not to do any remix. Although I find a lot of inspiration in different projects! thank you all!!!",click on green flag and write answer!,25103547,https://cdn2.scratch.mit.edu/get_image/project/236109208_480x360.png,2018-07-11T12:01:17.000Z,2018-07-11T13:43:09.000Z,2018-07-11T13:40:40.000Z,11,1,0,0,0,,
236116756,day 7,,"press green flag.
",34188789,https://cdn2.scratch.mit.edu/get_image/project/236116756_480x360.png,2018-07-11T13:21:10.000Z,2018-07-11T13:46:39.000Z,2018-07-11T13:46:25.000Z,7,2,0,0,0,,
236107104,GIORNO 7,,"PARTIRE DALLA BANDIERINA VERDE E PREMERE IN SEQUENZA
a b c d   ",28304428,https://cdn2.scratch.mit.edu/get_image/project/236107104_480x360.png,2018-07-11T11:30:38.000Z,2018-07-11T13:44:02.000Z,2018-07-11T13:42:52.000Z,14,0,0,0,0,,
236119583,GettingUnstuck_#7,"This project was created for Getting Unstuck Day 7, using Pen function to draw the patterns. I want to pay tribute to Yayoi Kusama (草間彌生) the great artist who loves to create the fanatic works with dots. I'm feeling happy to see the dots can be stamped in order on the shape. ",Click the Green Flag. ,31325002,https://cdn2.scratch.mit.edu/get_image/project/236119583_480x360.png,2018-07-11T13:44:03.000Z,2018-07-11T13:58:36.000Z,2018-07-11T13:44:46.000Z,13,2,2,0,0,,
236118947,G.U. PENNA-Day 7 copy,"Copia di G.U. Penna Day 7 : ho usato il blocco penna anche per le palline.
Uso della penna accompagnato da alcuni effetti ottici e sonori (a caso).","G.U. Day 7
Clicca sulla bandierina verde per vedere gli effetti.
Clicca su spazio per fermare tutto.",13746945,https://cdn2.scratch.mit.edu/get_image/project/236118947_480x360.png,2018-07-11T13:38:51.000Z,2018-07-11T13:59:40.000Z,2018-07-11T13:57:53.000Z,10,4,2,0,0,,
